,Job Name,Company,Salary,Rating,New Job,Apply Here
84,Software QA Engineer,Fortinet,Not Disclosed,3.8,No,https://www.indeed.com/rc/clk?jk=9d397348854b7e18&fccid=28d99c55a9ebe7b6&vjs=3
85,PSG Rotation Program,Intel,Not Disclosed,4.1,No,https://www.indeed.com/rc/clk?jk=b8708b7fe380e65d&fccid=936367796261bd6e&vjs=3
86,Data Scientist,Dworo.io,"$72,000 - $89,000 a year",N/A,Yes,https://www.indeed.com/company/Dworo.io/jobs/Data-Scientist-d363ee0767449ed9?fccid=c6d5b82b9a2c6169&vjs=3
87,Staff Test Engineer,Juniper Networks,"$180,000 - $200,000 a year",4.1,No,https://www.indeed.com/company/Juniper-Networks/jobs/Staff-Test-Engineer-ffbf2044f0d0e1a8?fccid=e9e363d6332bc1cd&vjs=3
88,Software Developer,L&T Technology Services Ltd.,"$80,000 - $200,000 a year",4.0,No,https://www.indeed.com/company/L&T-Technology-Services-Ltd./jobs/Software-Developer-0ca7f02c199bf6c5?fccid=4ed03476a1620afb&vjs=3
89,Entry Level AWS/Python Data Engineer,Quintrix,"$57,000 a year",3.0,Yes,https://www.indeed.com/company/Quintrix/jobs/Entry-Level-Aws-Python-Data-Engineer-9cd1b3e44e38e82b?fccid=448c6a409de61c4a&vjs=3
90,"Risk Analyst, TikTok-US-Data Security",TikTok,Not Disclosed,3.3,No,https://www.indeed.com/rc/clk?jk=690494e6386f1495&fccid=caed318a9335aac0&vjs=3
91,Data Analyst,Dataflix,$50 an hour,N/A,No,https://www.indeed.com/rc/clk?jk=1f9b390a5a0bf4b0&fccid=b372c9f271f9dc79&vjs=3
92,Automation Engineer,Crox Group,Not Disclosed,N/A,Yes,https://www.indeed.com/company/Crox-Group/jobs/Automation-Engineer-b8b71c5d39c88b81?fccid=fac6d92effb4d0d3&vjs=3
93,Cloud Software Engineer (Go/Python),Amex,Not Disclosed,4.1,No,https://www.indeed.com/rc/clk?jk=23b0919214d2b1ea&fccid=f057e04c37cca134&vjs=3
94,DMP/CDP Business Consultant,Adobe,"$116,800 - $151,700 a year",4.3,No,https://www.indeed.com/rc/clk?jk=9daa25e4677b4af2&fccid=f89deb5a97c7738a&vjs=3
95,Data Analyst,LatentView Analytics,"$70,000 - $120,000 a year",3.8,Yes,https://www.indeed.com/company/LatentView-Analytics/jobs/Data-Analyst-999f430f4baf9c52?fccid=20a24f005983fed4&vjs=3
96,QA Analyst,CYBER FORZA,Not Disclosed,N/A,No,https://www.indeed.com/rc/clk?jk=79d927ae6814c223&fccid=1c2c30e12b90499a&vjs=3
97,"Application Modernization Cloud Consultant, Google Cloud Pro...",Google,Not Disclosed,4.3,Yes,https://www.indeed.com/rc/clk?jk=8284a56408c2209e&fccid=a5b4499d9e91a5c6&vjs=3
